Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
66,25,Aas S,11,13,1,23,-14,93,71,1.30985915493,42,0,0.473333333333,107,86,1.24418604651,26,0.729166666667,16,0.473333333333,1.2025,0.729166666667,0,0,12,17,B Memorial,18,Memorial,WestJ
66,25,AastorpH,7,14,4,18,-25,122,101,1.20792079208,11,0,0.673333333333,147,112,1.3125,19,0.7625,-8,0.673333333333,1.43583333333,0.7625,0,0,8,8,A Meridian,23,Meridian,AastorpH
66,25,AbbottD,15,6,4,34,31,174,125,1.392,18,0,0.833333333333,143,103,1.38834951456,28,0.645569620253,-10,0.833333333333,1.47890295359,0.645569620253,1,0,16,4,A Midland,1,Midland,DeTuraM
66,25,AbdalianA,5,14,6,16,-11,109,81,1.34567901235,41,0,0.54,120,90,1.33333333333,34,0.65306122449,7,0.54,1.19306122449,0.65306122449,0,0,8,21,B Midland,25,Midland,KushnerAB
66,25,AbelM,8,14,3,19,-14,58,55,1.05454545455,24,0,0.366666666667,72,49,1.4693877551,37,0.519480519481,-13,0.366666666667,0.886147186147,0.519480519481,3,0,4,9,E Meridian Div 2,24,Meridian,AastorpH
66,25,AbramovichM,7,12,6,20,-13,62,52,1.19230769231,30,0,0.346666666667,75,63,1.19047619048,21,0.740740740741,9,0.346666666667,1.08740740741,0.740740740741,1,0,4,24,R Corridor Div 2,13,Corridor,BreedingJ
66,25,AcedoS,8,15,2,18,-34,72,62,1.16129032258,27,0,0.413333333333,106,79,1.3417721519,33,0.637362637363,-6,0.413333333333,1.0506959707,0.637362637363,0,0,5,20,D Coastal Div 1,26,Coastal,HalpinM
66,25,AdamsAJH,15,6,4,32,29,117,82,1.42682926829,41,0,0.594202898551,88,67,1.31343283582,35,0.631578947368,6,0.594202898551,1.22578184592,0.631578947368,0,2,10,13,D Skyline Div 1,4,Skyline,JohnsonS2
66,25,AdamsC,12,11,2,26,21,89,74,1.2027027027,28,0,0.493333333333,68,58,1.1724137931,24,0.720930232558,4,0.493333333333,1.21426356589,0.720930232558,2,0,4,27,R Memorial Div 1,12,Memorial,RalstonJ
66,25,AdamsM,8,16,1,17,-30,57,49,1.16326530612,31,0,0.326666666667,87,58,1.5,48,0.5,-17,0.326666666667,0.826666666667,0.5,1,0,2,11,R Frontier Div 1,19,Frontier,BraggR
66,25,AddoF,7,12,6,20,-12,88,72,1.22222222222,35,0,0.48,100,76,1.31578947368,37,0.637254901961,-2,0.48,1.11725490196,0.637254901961,0,0,9,18,D Horizon Div 1,21,Horizon,RyderM
66,25,AdelmanM,13,7,5,31,33,128,92,1.39130434783,39,0,0.613333333333,95,78,1.21794871795,31,0.707547169811,8,0.613333333333,1.32088050314,0.707547169811,0,0,14,14,C Skyline Div 2,4,Skyline,PeskinK
66,25,AdelsonJH,10,11,4,24,-12,58,49,1.18367346939,33,0,0.326666666667,70,59,1.18644067797,28,0.698924731183,5,0.326666666667,1.02559139785,0.698924731183,1,0,3,20,R Central Div 1,12,Central,WhitlockS
66,25,AdelsonJoshua,3,17,5,11,-52,80,73,1.09589041096,24,0,0.486666666667,132,94,1.40425531915,38,0.595744680851,-14,0.486666666667,1.08241134752,0.595744680851,0,0,6,15,C Central,33,Central,WhitlockS
66,25,AderholdE,10,11,4,24,0,75,64,1.171875,28,0,0.426666666667,75,67,1.11940298507,22,0.768421052632,6,0.426666666667,1.1950877193,0.768421052632,2,0,7,15,D Horizon Div 1,13,Horizon,RyderM
66,25,AdkinsJ,12,11,2,26,-1,109,84,1.29761904762,37,0,0.56,110,88,1.25,27,0.724489795918,10,0.56,1.28448979592,0.724489795918,0,0,13,20,B Sugarloaf,12,Sugarloaf,Gillard-ByersN
66,25,AdkisonD,12,11,2,25,0,124,85,1.45882352941,39,0,0.590277777778,124,89,1.39325842697,38,0.6,1,0.590277777778,1.19027777778,0.6,2,1,13,16,C Central,17,Central,ScheelerD
66,25,AdlerR,10,13,2,22,-5,73,58,1.25862068966,34,0,0.386666666667,78,64,1.21875,28,0.695652173913,6,0.386666666667,1.08231884058,0.695652173913,2,0,4,23,C Corridor,20,Corridor,JohnsonW
66,25,AdlersteinD,9,15,1,19,-34,61,51,1.19607843137,31,0,0.34,95,74,1.28378378378,29,0.677777777778,2,0.34,1.01777777778,0.677777777778,0,0,3,19,R Highland Div 2,16,Highland,CarrBen12
66,25,AdusumilliV,9,11,5,23,-10,162,117,1.38461538462,21,0,0.78,172,125,1.376,10,0.803921568627,11,0.78,1.58392156863,0.803921568627,1,0,14,9,A Central,13,Central,VeredJ
66,25,AgarSDW,11,12,2,23,10,76,54,1.40740740741,34,0,0.375,66,56,1.17857142857,24,0.714285714286,10,0.375,1.08928571429,0.714285714286,2,1,7,25,D Midland Div 1,11,Midland,MorganEM
66,25,AginM,17,7,1,35,19,69,64,1.078125,25,0,0.426666666667,50,42,1.19047619048,29,0.654761904762,-4,0.426666666667,1.08142857143,0.654761904762,1,0,3,18,E Meridian Div 1,3,Meridian,MatthewsP
66,25,AglerB,7,14,4,17,-31,70,60,1.16666666667,24,0,0.416666666667,101,78,1.29487179487,35,0.656862745098,-11,0.416666666667,1.07352941176,0.656862745098,0,1,4,19,D Frontier Div 1,26,Frontier,KrizelJ
66,25,AgostaM,13,8,4,28,1,82,67,1.22388059701,27,0,0.485507246377,81,67,1.20895522388,26,0.714285714286,1,0.485507246377,1.19979296066,0.714285714286,1,2,6,16,D Maritime Div 2,9,Maritime,KettlerM
66,25,AguirreJ,7,13,5,17,-26,61,45,1.35555555556,36,0,0.326086956522,87,64,1.359375,32,0.609756097561,4,0.326086956522,0.935843054083,0.609756097561,1,2,9,23,R Maritime Div 2,19,Maritime,CahillE
66,25,AhmedMZ,17,7,1,35,28,121,95,1.27368421053,25,0,0.633333333333,93,68,1.36764705882,32,0.609756097561,-7,0.633333333333,1.24308943089,0.609756097561,0,0,11,16,D Alpine Div 1,3,Alpine,ShoafC
66,25,AhoJ,4,20,1,-6,-47,29,21,1.38095238095,18,0,0.35,76,50,1.52,41,0.4875,-23,0.35,0.8375,0.4875,1,15,1,7,R Midland Div 2,22,Midland,BennettT
66,25,AingerT,16,8,1,32,26,126,93,1.35483870968,28,0,0.645833333333,100,84,1.19047619048,23,0.765306122449,5,0.645833333333,1.41113945578,0.765306122449,0,1,10,12,C Meridian Div 2,3,Meridian,CollegeA
66,25,AjiS,5,15,5,3,-36,28,25,1.12,14,0,0.320512820513,64,45,1.42222222222,36,0.544303797468,-22,0.320512820513,0.864816617981,0.544303797468,0,12,3,12,E Skyline Div 1,27,Skyline,SamburgM
66,25,AkbarA,5,18,2,10,-66,27,28,0.964285714286,19,0,0.202898550725,93,63,1.47619047619,46,0.515789473684,-27,0.202898550725,0.718688024409,0.515789473684,1,2,2,13,R Highland Div 1,25,Highland,RonickherM
66,25,AlavianD,18,5,2,38,53,135,100,1.35,34,0,0.666666666667,82,65,1.26153846154,26,0.686746987952,8,0.666666666667,1.35341365462,0.686746987952,1,0,12,12,R Pacific Div 1,2,Pacific,LovejoyA
66,25,AlbertB,15,9,1,31,24,105,82,1.28048780488,38,0,0.546666666667,81,66,1.22727272727,27,0.7,11,0.546666666667,1.24666666667,0.7,0,0,9,10,D Alpine Div 2,4,Alpine,SlaterAB
66,25,AlbertL,8,11,6,22,-11,78,65,1.2,31,0,0.433333333333,89,71,1.25352112676,35,0.666666666667,-4,0.433333333333,1.1,0.666666666667,0,0,3,27,D Alpine Div 2,12,Alpine,SlaterAB
66,25,AlbertM,11,10,4,26,5,69,58,1.18965517241,29,0,0.386666666667,64,53,1.20754716981,28,0.67816091954,1,0.386666666667,1.06482758621,0.67816091954,2,0,4,20,E Frontier Div 2,12,Frontier,AlexisC
66,25,AlbertsonJ,6,12,7,19,-23,59,52,1.13461538462,25,0,0.346666666667,82,61,1.34426229508,32,0.614457831325,-7,0.346666666667,0.961124497992,0.614457831325,0,0,4,29,D Seaboard Div 1,19,Seaboard,MatrosM
66,25,AlbertsonJB,3,19,3,4,-48,39,37,1.05405405405,20,0,0.308333333333,87,63,1.38095238095,39,0.58064516129,-19,0.308333333333,0.888978494624,0.58064516129,0,5,3,18,D Seaboard Div 1,26,Seaboard,MatrosM
66,25,AlbertsonJC,8,15,2,18,-20,70,57,1.22807017544,32,0,0.38,90,70,1.28571428571,31,0.663043478261,1,0.38,1.04304347826,0.663043478261,0,0,6,21,D Seaboard Div 1,22,Seaboard,MatrosM
66,25,AlbertsonJM,13,11,1,27,-6,81,57,1.42105263158,47,0,0.38,87,64,1.359375,40,0.591836734694,7,0.38,0.971836734694,0.591836734694,0,0,9,16,D Seaboard Div 1,14,Seaboard,MatrosM
66,25,AlbrechtM,21,2,2,44,63,116,77,1.50649350649,52,0,0.513333333333,53,38,1.39473684211,35,0.551282051282,17,0.513333333333,1.06461538462,0.551282051282,3,0,10,25,R Corridor Div 1,1,Corridor,RafalA
66,25,AlcornS,19,4,2,38,42,95,66,1.43939393939,45,0,0.478260869565,53,46,1.15217391304,26,0.690476190476,19,0.478260869565,1.16873706004,0.690476190476,2,2,9,23,E Metro Div 1,1,Metro,EtterT
66,25,AlexanderD,21,1,3,45,63,218,146,1.49315068493,4,0,0.973333333333,155,114,1.35964912281,23,0.705128205128,-19,0.973333333333,1.67846153846,0.705128205128,0,0,24,3,A Maritime,1,Maritime,WolpertL
66,25,AlexanderJ,16,6,3,34,33,100,74,1.35135135135,38,0,0.513888888889,67,57,1.17543859649,24,0.717647058824,14,0.513888888889,1.23153594771,0.717647058824,1,1,9,15,D Corridor Div 1,2,Corridor,JohnsonW
66,25,AlexanderJaws,13,10,2,26,11,99,77,1.28571428571,27,0,0.557971014493,88,71,1.23943661972,34,0.67619047619,-7,0.557971014493,1.23416149068,0.67619047619,1,2,7,2,B Corridor,9,Corridor,KochanB
66,25,AllainB,9,12,4,21,-6,60,45,1.33333333333,34,0,0.3125,66,55,1.2,28,0.685393258427,6,0.3125,0.997893258427,0.685393258427,1,1,5,18,E Sequoia Div 1,18,Sequoia,SorensonG
66,25,AllardT,15,9,1,29,26,116,88,1.31818181818,28,0,0.63768115942,90,71,1.2676056338,31,0.673684210526,-3,0.63768115942,1.31136536995,0.673684210526,1,2,11,10,D Pacific Div 2,8,Pacific,SchwartzT
66,25,AllenD,13,8,4,30,5,57,50,1.14,28,0,0.333333333333,52,46,1.13043478261,25,0.702380952381,3,0.333333333333,1.03571428571,0.702380952381,0,0,6,22,E Corridor Div 2,5,Corridor,JohnsonW
66,25,AllenD7,6,15,4,16,-32,86,71,1.21126760563,29,0,0.473333333333,118,87,1.35632183908,36,0.628865979381,-7,0.473333333333,1.10219931271,0.628865979381,1,0,7,17,B Metro,24,Metro,ZawistowskiS
66,25,AllenJ,12,9,4,28,6,152,104,1.46153846154,37,0,0.693333333333,146,107,1.36448598131,26,0.679012345679,11,0.693333333333,1.37234567901,0.679012345679,0,0,18,13,A Memorial,9,Memorial,SausvilleK
66,25,AllenLR,8,14,3,19,-17,61,54,1.12962962963,31,0,0.36,78,67,1.16417910448,27,0.727272727273,4,0.36,1.08727272727,0.727272727273,0,0,4,29,D Corridor Div 2,18,Corridor,BreedingJ
66,25,AllenT,13,12,0,26,-9,95,79,1.20253164557,28,0,0.526666666667,104,79,1.3164556962,37,0.640776699029,-9,0.526666666667,1.1674433657,0.640776699029,0,0,7,11,C Metro,15,Metro,FlynnR
66,25,AlleyR,12,9,4,28,2,110,87,1.26436781609,34,0,0.58,108,84,1.28571428571,36,0.666666666667,-2,0.58,1.24666666667,0.666666666667,0,0,10,13,C Central,12,Central,von WalterH
