Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
65,25,ArnettP,17,6,2,36,41,111,85,1.30588235294,32,0,0.566666666667,70,59,1.18644067797,25,0.712643678161,7,0.566666666667,1.27931034483,0.712643678161,2,0,9,16,D Sequoia Div 1,2,Sequoia,CapodiceN
65,25,ArnettT,8,15,2,18,-17,127,90,1.41111111111,41,0,0.6,144,102,1.41176470588,30,0.615384615385,11,0.6,1.21538461538,0.615384615385,1,0,12,17,A Sequoia,21,Sequoia,CapodiceN
65,25,ArnoldM,8,11,6,22,5,155,116,1.33620689655,20,0,0.773333333333,150,111,1.35135135135,15,0.761904761905,5,0.773333333333,1.53523809524,0.761904761905,2,0,11,13,A Skyline,17,Skyline,HorwitzJ
65,25,AronoffP,9,13,3,21,-7,101,82,1.23170731707,28,0,0.546666666667,108,83,1.30120481928,32,0.670103092784,-4,0.546666666667,1.21676975945,0.670103092784,0,0,9,13,B Corridor,18,Corridor,AronoffP
65,25,AronsonR,6,13,6,15,-26,66,52,1.26923076923,33,0,0.393939393939,92,72,1.27777777778,34,0.66,-1,0.393939393939,1.05393939394,0.66,0,3,7,24,D Pacific Div 2,28,Pacific,GoodeM
65,25,ArpinA2,14,9,2,30,40,136,97,1.40206185567,34,0,0.646666666667,96,69,1.39130434783,45,0.571428571429,-11,0.646666666667,1.2180952381,0.571428571429,0,0,13,7,D Corridor Div 1,5,Corridor,BreedingJ
65,25,ArwariS,16,3,6,38,21,72,56,1.28571428571,37,0,0.373333333333,51,47,1.08510638298,21,0.740740740741,16,0.373333333333,1.11407407407,0.740740740741,2,0,4,22,E Seaboard Div 1,1,Seaboard,MatrosM
65,25,AscherL,15,9,1,31,18,136,103,1.32038834951,24,0,0.686666666667,118,95,1.24210526316,23,0.757894736842,1,0.686666666667,1.44456140351,0.757894736842,0,0,13,14,B Horizon,5,Horizon,TeneryD
65,25,AsplundB,5,13,7,16,-34,30,31,0.967741935484,15,0,0.215277777778,64,50,1.28,33,0.625,-18,0.215277777778,0.840277777778,0.625,1,1,2,21,E Maritime Div 1,24,Maritime,CostelloR
65,25,AugustineP,14,7,4,32,40,162,111,1.45945945946,37,0,0.74,122,92,1.32608695652,17,0.742424242424,20,0.74,1.48242424242,0.742424242424,3,0,15,9,B Maritime,4,Maritime,RosbyG
65,25,AustinN,7,14,4,16,-18,48,40,1.2,28,0,0.289855072464,66,49,1.34693877551,30,0.6,-2,0.289855072464,0.889855072464,0.6,2,2,5,15,R Meridian Div 2,21,Meridian,LevyB
65,25,AveryS,16,8,1,33,27,104,70,1.48571428571,48,0,0.466666666667,77,62,1.24193548387,28,0.681818181818,20,0.466666666667,1.14848484848,0.681818181818,2,0,10,10,R Metro Div 1,8,Metro,FlynnR
65,25,AvilaD,10,13,2,22,-1,161,117,1.37606837607,23,0,0.78,162,113,1.43362831858,30,0.6,-7,0.78,1.38,0.6,0,0,14,5,A Central,18,Central,ScheelerD
65,25,AxelmanB,9,10,6,24,1,98,80,1.225,28,0,0.533333333333,97,79,1.22784810127,26,0.726315789474,2,0.533333333333,1.25964912281,0.726315789474,1,0,6,18,B Corridor,11,Corridor,KochanB
65,25,AyersP,13,9,3,29,4,112,82,1.36585365854,39,0,0.546666666667,108,75,1.44,39,0.551724137931,0,0.546666666667,1.0983908046,0.551724137931,1,0,8,14,R Midland Div 1,8,Midland,DeTuraM
65,25,AzarchsA,6,16,3,15,-37,74,64,1.15625,29,0,0.426666666667,111,92,1.20652173913,20,0.787234042553,9,0.426666666667,1.21390070922,0.787234042553,0,0,5,16,C Pacific,31,Pacific,ShapiroA
65,25,BabcockD,6,11,8,20,-23,55,47,1.17021276596,31,0,0.313333333333,78,64,1.21875,31,0.683673469388,0,0.313333333333,0.997006802721,0.683673469388,0,0,5,21,D Midland Div 2,17,Midland,DeTuraM
65,25,BacchiC,16,7,2,32,32,128,94,1.36170212766,29,0,0.68115942029,96,70,1.37142857143,37,0.597826086957,-8,0.68115942029,1.27898550725,0.597826086957,0,2,14,3,R Midland Div 1,4,Midland,KushnerAB
65,25,BachrachE,8,15,2,18,-37,89,73,1.21917808219,30,0,0.486666666667,126,88,1.43181818182,43,0.561224489796,-13,0.486666666667,1.04789115646,0.561224489796,0,0,6,22,B Midland,25,Midland,KushnerAB
65,25,BadalK,9,12,4,17,-4,45,37,1.21621621622,25,0,0.308333333333,49,41,1.19512195122,30,0.647058823529,-5,0.308333333333,0.955392156863,0.647058823529,0,5,5,14,E Highland Div 1,26,Highland,CarrBen12
